Timestamp,1.) In which industry does the company operate?,2.) What type of software does the company construct?,3.) Which SDLC methodology does the company follow for software projects? (you can select more than one option),"4.) If more than one methodology was chosen in question 3, how do you/the company decide which methodology to choose for a given project? Leave blank if not more than one methodology was chosen",5.) If the Hybrid SDLC methodology was chosen in question 3 – What variation of SDLC methodologies do you use to implement software? Leave blank if hybrid was not chosen,Please state the methodology you're rating,Requirements Volatility,Requirements Clarity ,Development Time,Project Size,Team Size,Product Complexity,Testing ,Please rate the following characteristics with low/high values (please choose only one value per row) [Risk Analysis],Please rate the following characteristics with low/high values (please choose only one value per row) [User Participation ],Please rate the following characteristics with low/high values (please choose only one value per row) [Team expertise on the technologies for the project],Please rate the following characteristics with low/high values (please choose only one value per row) [Development Expertise],Please rate the following characteristics with low/high values (please choose only one value per row) [Documentation needed],Please rate the following characteristics with low/high values (please choose only one value per row) [Funding Available],Please rate the following characteristics with low/high values (please choose only one value per row) [Delivery Speed],Please rate the following characteristics with low/high values (please choose only one value per row) [task visualisation],Please state the methodology you're rating,Requirements Volatility,Requirements Clarity ,Development Time,Project Size,Team Size,Product Complexity,Testing Intensity,Please rate the following characteristics with low/high values (please choose only one value per row) [Risk Analysis],Please rate the following characteristics with low/high values (please choose only one value per row) [User Participation ],Please rate the following characteristics with low/high values (please choose only one value per row) [Team expertise on the technologies for the project],Please rate the following characteristics with low/high values (please choose only one value per row) [Development Expertise],Please rate the following characteristics with low/high values (please choose only one value per row) [Documentation needed],Please rate the following characteristics with low/high values (please choose only one value per row) [Funding Available],Please rate the following characteristics with low/high values (please choose only one value per row) [Delivery Speed],,"6. Which of the criteria mentioned in sections 2 and 3, you believe that are the most important in choosing a SDLC methodology over another?","7.) Do you think that there are additional requirements (aside from those mentioned in the previous question) that influence your decision to choose a SDLC method for a project? If yes, please mention the rating/value alongside the characteristic for the SDLC methodology you selected in previous questions (e.g., Documentation: high).",
2021/11/30 6:40:21 pm CET,Gaming,b. Information systems,Scrum;Kanban,Depending on the project,Scrum and Kanban,Kanban,Changing,understandable/early defined,Intensive,Large,Medium (6-15),Complex,After each cycle (Intensive testing),High,Low,Medium,Medium,High,High,Medium,High,Scrum,Changing,unknown/defined later in the lifecycle,Intensive,Small,Small (0-5),Complex,After each cycle (Intensive testing),Medium,Low,Medium,Medium,Medium,Medium,High,Low,Requirements Clarity;Project Type;Funding Available;Testing Intensity,Documentation and prioritization ,
2021/11/30 6:44:31 pm CET,Gaming,b. Information systems,Hybrid,,Scrum and Kanban,Hybrid: Scrum and Kanban,Changing,understandable/early defined,Non-Intensive,Large,Small (1-5),Complex,After each cycle (Intensive testing),Low,High,High,High,Low,Medium,High,Low,Kanban,Changing,understandable/early defined,Intensive,Large,Small (0-5),Complex,After each cycle (Intensive testing),Low,High,High,High,Low,Medium,High ,High ,Requirements Clarity;User Participation;Product Complexity;Project Type;Development Time;Team Expertise on the technologies to be used for the project,N/A,
2021/11/30 6:54:29 pm CET,Information Technology,b. Information systems,Hybrid,,Scrum and Kanban,Hybrid: Scrum and Kanban,Changing,understandable/early defined,Intensive,Large,Small (1-5),Complex,After development is done (Non-intensive testing),High,Medium,High,Medium,High,Medium,High,Low,,,,,,,,,,,,,,,,,Requirements Clarity;Risk Analysis;Development Time;Testing Intensity,No,
2021/11/29 5:18:28 pm CET,Information Technology,b. Information systems,Waterfall,,Scrum and Waterfall,Hybrid: Scrum and Waterfall,Changing,understandable/early defined,Intensive,Medium,Large (16....),Complex,After each cycle (Intensive testing),Medium,High,Medium,High,High,High,Medium,Low,RAD,Fixed,understandable/early defined,Non-Intensive,Medium,Large (16....),Complex,After each cycle (Intensive testing),High,High,Medium;High,Medium,Medium,Medium,High ,Low,Risk Analysis,No,
2021/11/27 8:02:51 pm CET,Information Technology,"a. Real-time systems i.e., produce real-time data to predict the future consequences of current actions e.g., used in smartphones, air traffic control, GPS, health",Scrum,,,Scrum,Changing,unknown/defined later in the lifecycle,Intensive,Medium,Medium (6-15),Simple,After each cycle (Intensive testing),Low,High,High,High,Low,High,Medium,Low,,,,,,,,,,,,,,,,,Project Type,No,Application
2021/11/29 5:18:28 pm CET,Information Technology,b. Information systems,Waterfall,,Scrum and Waterfall,Hybrid: Scrum and Waterfall,Changing,understandable/early defined,Intensive,Medium,Large (16....),Complex,After each cycle (Intensive testing),Medium,High,Medium,High,High,High,Medium,Low,RAD,Fixed,understandable/early defined,Non-Intensive,Medium,Large (16....),Complex,After each cycle (Intensive testing),High,High,Medium;High,Medium,Medium,Medium,High ,Low,Risk Analysis,No,
2021/11/27 8:02:51 pm CET,Information Technology,"a. Real-time systems i.e., produce real-time data to predict the future consequences of current actions e.g., used in smartphones, air traffic control, GPS, health",Scrum,,,Scrum,Changing,unknown/defined later in the lifecycle,Intensive,Medium,Medium (6-15),Simple,After each cycle (Intensive testing),Low,High,High,High,Low,High,Medium,Low,,,,,,,,,,,,,,,,,Project Type,No,Application
2021/11/29 5:18:28 pm CET,Information Technology,b. Information systems,Waterfall,,Scrum and Waterfall,Hybrid: Scrum and Waterfall,Changing,understandable/early defined,Intensive,Medium,Large (16....),Complex,After each cycle (Intensive testing),Medium,High,Medium,High,High,High,Medium,Low,RAD,Fixed,understandable/early defined,Non-Intensive,Large,Large (16....),Complex,After each cycle (Intensive testing),High,High,Medium;High,Medium,Medium,Medium,High ,Low,Risk Analysis,No,
2021/11/29 5:18:28 pm CET,Information Technology,b. Information systems,Waterfall,,Scrum and Waterfall,Hybrid: Scrum and Waterfall,Changing,understandable/early defined,Intensive,Medium,Large (16....),Complex,After each cycle (Intensive testing),Medium,High,Medium,High,High,High,Medium,Low,RAD,Fixed,understandable/early defined,Non-Intensive,Large,Large (16....),Complex,After each cycle (Intensive testing),High,High,Medium;High,Medium,Medium,Medium,High ,Low,Risk Analysis,No,
2021/12/02 3:03:44 pm CET,Information Technology,b. Information systems,Scrum,,,Scrum,Changing,unknown/defined later in the lifecycle,Intensive,Medium,Medium (6-15),Complex,After each cycle (Intensive testing),High,High,High,High,Low,High,Medium,Low,RAD,Fixed,understandable/early defined,Non-Intensive,Large,Large (16....),Complex,After each cycle (Intensive testing),Medium,Medium,Medium,High,Medium,High,Low,Low,Project Size,n/a,
2021/11/29 5:18:28 pm CET,Information Technology,b. Information systems,Waterfall,,Scrum and Waterfall,Hybrid: Scrum and Waterfall,Changing,understandable/early defined,Intensive,Medium,Large (16....),Complex,After each cycle (Intensive testing),Medium,High,Medium,High,High,High,Medium,Low,RAD,Fixed,understandable/early defined,Non-Intensive,Large,Large (16....),Complex,After each cycle (Intensive testing),High,High,Medium;High,Medium,Medium,Medium,High ,Low,Risk Analysis,No,
2021/11/27 8:02:51 pm CET,Information Technology,"a. Real-time systems i.e., produce real-time data to predict the future consequences of current actions e.g., used in smartphones, air traffic control, GPS, health",Scrum,,,Scrum,Changing,unknown/defined later in the lifecycle,Intensive,Medium,Medium (6-15),Simple,After each cycle (Intensive testing),Low,High,High,High,Low,High,Medium,Low,,,,,,,,,,,,,,,,,Project Type,No,Application
2021/12/03 10:52:43 am CET,Gaming,b. Information systems,Scrum;Kanban,"For website development which are mostly market facing, it's kanban (i.e. top priority first and we go down the list).  For more stable internal systems in which priorities do not change much we use scrum",,Scrum,Changing,unknown/defined later in the lifecycle,Intensive,Medium,Small (1-5),Complex,After each cycle (Intensive testing),High,High,High,High,Low,High,High,Low,Kanban,Changing,understandable/early defined,Non-Intensive,Small,Medium (6-15),Simple,After development is done (Non-intensive testing),Medium,High,High,High,Medium,Medium,High,High,Requirements Volatility;Project Type;Development Time,"Country regulations, urgent requests from sales, the need to add a new feature ASAP",
2021/11/29 5:18:28 pm CET,Information Technology,b. Information systems,Waterfall,,Scrum and Waterfall,Hybrid: Scrum and Waterfall,Changing,understandable/early defined,Intensive,Medium,Large (16....),Complex,After each cycle (Intensive testing),Medium,High,Medium,High,High,High,Medium,Low,Waterfall,Fixed,understandable/early defined,Non-Intensive,Medium,,Complex,After each cycle (Intensive testing),High,High,Medium;High,Medium,Medium,Medium,Low,Low,Risk Analysis,No,
2021/11/29 5:18:28 pm CET,Information Technology,b. Information systems,Waterfall,,Scrum and Waterfall,Hybrid: Scrum and Waterfall,Changing,understandable/early defined,Intensive,Medium,Large (16....),Complex,After each cycle (Intensive testing),Medium,High,Medium,High,High,High,Medium,Low,Waterfall,Fixed,understandable/early defined,Non-Intensive,Medium,,Complex,After each cycle (Intensive testing),High,High,Medium;High,Medium,Medium,Medium,Low,Low,Risk Analysis,No,
2021/11/29 5:18:28 pm CET,Information Technology,b. Information systems,Waterfall,,Scrum and Waterfall,Hybrid: Scrum and Waterfall,Changing,understandable/early defined,Intensive,Medium,Large (16....),Complex,After each cycle (Intensive testing),Medium,High,Medium,High,High,High,Medium,Low,Waterfall,Fixed,understandable/early defined,Non-Intensive,Medium,,Complex,After each cycle (Intensive testing),High,High,Medium;High,Medium,Medium,Medium,Low,Low,Risk Analysis,No,
2021/11/27 8:02:51 pm CET,Information Technology,"a. Real-time systems i.e., produce real-time data to predict the future consequences of current actions e.g., used in smartphones, air traffic control, GPS, health",Scrum,,,Scrum,Changing,unknown/defined later in the lifecycle,Intensive,Medium,Medium (6-15),Simple,After each cycle (Intensive testing),Low,High,High,High,Low,High,Medium,Low,,,,,,,,,,,,,,,,,Project Type,No,Application
2021/11/27 8:02:51 pm CET,Information Technology,"a. Real-time systems i.e., produce real-time data to predict the future consequences of current actions e.g., used in smartphones, air traffic control, GPS, health",Scrum,,,Scrum,Changing,unknown/defined later in the lifecycle,Intensive,Medium,Medium (6-15),Simple,After each cycle (Intensive testing),Low,High,High,High,Low,High,Medium,Low,,,,,,,,,,,,,,,,,Project Type,No,Application
2021/12/06 6:12:30 pm CET,Information Technology,b. Information systems,Spiral,,,Spiral,Changing,unknown/defined later in the lifecycle,Intensive,Large,Small (1-5),Complex,After each cycle (Intensive testing),High,Low,High,High,Low,Low,Medium,Low,,,,,,,,,,,,,,,,,Requirements Clarity;Requirements Volatility;Risk Analysis;Product Complexity;Delivery Speed,N/A,
2021/12/06 6:12:30 pm CET,Information Technology,b. Information systems,Spiral,,,Spiral,Changing,unknown/defined later in the lifecycle,Intensive,Large,Small (1-5),Complex,After each cycle (Intensive testing),High,Low,High,High,Low,Low,Medium,Low,,,,,,,,,,,,,,,,,Requirements Clarity;Requirements Volatility;Risk Analysis;Product Complexity;Delivery Speed,N/A,
2021/12/06 6:12:30 pm CET,Information Technology,b. Information systems,Spiral,,,Spiral,Changing,unknown/defined later in the lifecycle,Intensive,Large,Small (1-5),Complex,After each cycle (Intensive testing),High,Low,High,High,Low,Low,Medium,Low,,,,,,,,,,,,,,,,,Requirements Clarity;Requirements Volatility;Risk Analysis;Product Complexity;Delivery Speed,N/A,
2021/12/06 6:12:30 pm CET,Information Technology,b. Information systems,Spiral,,,Spiral,Changing,unknown/defined later in the lifecycle,Intensive,Large,Small (1-5),Complex,After each cycle (Intensive testing),High,Low,High,High,Low,Low,Medium,Low,,,,,,,,,,,,,,,,,Requirements Clarity;Requirements Volatility;Risk Analysis;Product Complexity;Delivery Speed,N/A,
2021/11/27 8:02:51 pm CET,Information Technology,"a. Real-time systems i.e., produce real-time data to predict the future consequences of current actions e.g., used in smartphones, air traffic control, GPS, health",Scrum,,,Scrum,Changing,unknown/defined later in the lifecycle,Intensive,Medium,Medium (6-15),Simple,After each cycle (Intensive testing),Low,High,High,High,Low,High,Medium,Low,,,,,,,,,,,,,,,,,Project Type,No,Application
2021/11/27 8:02:51 pm CET,Information Technology,"a. Real-time systems i.e., produce real-time data to predict the future consequences of current actions e.g., used in smartphones, air traffic control, GPS, health",Scrum,,,Scrum,Changing,unknown/defined later in the lifecycle,Intensive,Medium,Medium (6-15),Simple,After each cycle (Intensive testing),Low,High,High,High,Low,High,Medium,Low,,,,,,,,,,,,,,,,,Project Type,No,Application
2021/11/27 8:02:51 pm CET,Information Technology,"a. Real-time systems i.e., produce real-time data to predict the future consequences of current actions e.g., used in smartphones, air traffic control, GPS, health",Scrum,,,Scrum,Changing,unknown/defined later in the lifecycle,Intensive,Medium,Medium (6-15),Simple,After each cycle (Intensive testing),Low,High,High,High,Low,High,Medium,Low,,,,,,,,,,,,,,,,,Project Type,No,Application
2021/12/04 5:35:44 pm CET,Gaming,"a. Real-time systems i.e., produce real-time data to predict the future consequences of current actions e.g., used in smartphones, air traffic control, GPS, health",Spiral,,,Spiral,Changing,understandable/early defined,Intensive,Large,Large (16....),Complex,After each cycle (Intensive testing),High,High,High,High,High,High,Medium,Low,,,,,,,,,,,,,,,,,Requirements Clarity;Requirements Volatility;Risk Analysis;Project Size,Prototyping:  high,
2021/12/04 5:41:53 pm CET,Information Technology,"c. Distributed systems i.e., Collection of computers working together to appear as a single computer to the end-user e.g., telephone networks, wireless sensor networks, routing algorithms, distributed databases.",Rapid Application Development (RAD);Hybrid,,Scrum and Waterfall,RAD,Changing,unknown/defined later in the lifecycle,Intensive,Large,Medium (6-15),Complex,After each cycle (Intensive testing),High,High,High,High,Medium,Low,Low,Low,Hybrid: Scrum and Waterfall,Changing,understandable/early defined,Intensive,Medium,Medium (6-15),Simple,After each cycle (Intensive testing),Medium,Medium,High,High,High,Medium,High ,Low,Requirements Clarity;Requirements Volatility;Risk Analysis,"Cycles - Short, Prototyping - high",
2021/11/27 8:02:51 pm CET,Information Technology,"a. Real-time systems i.e., produce real-time data to predict the future consequences of current actions e.g., used in smartphones, air traffic control, GPS, health",Scrum,,,Scrum,Changing,unknown/defined later in the lifecycle,Intensive,Medium,Medium (6-15),Simple,After each cycle (Intensive testing),Low,High,High,High,Low,High,Medium,Low,,,,,,,,,,,,,,,,,Project Type,No,Application
2021/11/27 8:02:51 pm CET,Information Technology,"a. Real-time systems i.e., produce real-time data to predict the future consequences of current actions e.g., used in smartphones, air traffic control, GPS, health",Scrum,,,Scrum,Changing,unknown/defined later in the lifecycle,Intensive,Medium,Medium (6-15),Simple,After each cycle (Intensive testing),Low,High,High,High,Low,High,Medium,Low,,,,,,,,,,,,,,,,,Project Type,No,Application
2021/12/23 3:31:25 pm CET,Gaming,"a. Real-time systems i.e., produce real-time data to predict the future consequences of current actions e.g., used in smartphones, air traffic control, GPS, health",Waterfall,,,Waterfall,Fixed,understandable/early defined,Non-Intensive,Small,Small (1-5),Simple,After development is done (Non-intensive testing),High,Low,Medium,Medium,High,Low,Low,Low,,,,,,,,,,,,,,,,,User Participation;Project Size;Team Size;Product Complexity,knowhow of the methodology: high,
2021/12/05 7:44:29 pm CET,Information Technology,b. Information systems,Hybrid,,Scrum and Kanban,Hybrid: Waterfall and Kanban,Changing,unknown/defined later in the lifecycle,Intensive,Medium,Medium (6-15),Complex,After each cycle (Intensive testing),High,High,High,High,Medium,High,High,Low,,,,,,,,,,,,,,,,,Requirements Clarity;Requirements Volatility;Project Size;Project Type,n/a,
2021/12/05 7:52:13 pm CET,Information Technology,Biometric verification,Agile,,,Scrum,Changing,unknown/defined later in the lifecycle,Intensive,Medium,Small (1-5),Complex,After each cycle (Intensive testing),High,High,High,Medium,Low,Low,Medium,Low,,,,,,,,,,,,,,,,,Requirements Clarity,Variety of components to the solution perhaps ,
2021/12/06 7:59:26 am CET,Gaming,"c. Distributed systems i.e., Collection of computers working together to appear as a single computer to the end-user e.g., telephone networks, wireless sensor networks, routing algorithms, distributed databases.",Scrum;Kanban,Depending on resources,,Scrum,Changing,unknown/defined later in the lifecycle,Intensive,Medium,Medium (6-15),Complex,After each cycle (Intensive testing),Medium,High,High,High,Low,Medium,High,Low,Kanban,Changing,understandable/early defined,Non-Intensive,Medium,Large (16....),Complex,After each cycle (Intensive testing),High,High,High,High,Medium,Medium,Medium,High ,Requirements Clarity;Requirements Volatility;Project Size;Team Size;Development Time,Resources available: high,
2021/12/06 8:14:10 am CET,Information Technology,b. Information systems,Waterfall;Kanban;Hybrid;Agile ,,Scrum and Kanban,Hybrid: Scrum and Kanban,Changing,understandable/early defined,Intensive,Medium,Medium (6-15),Complex,After development is done (Non-intensive testing),High,High,High,High,High,Medium,High,Low,,,,,,,,,,,,,,,,,Requirements Clarity;Risk Analysis;Development Time;Development Expertise,Yes 9,
2021/12/06 10:00:16 am CET,Information Technology,"c. Distributed systems i.e., Collection of computers working together to appear as a single computer to the end-user e.g., telephone networks, wireless sensor networks, routing algorithms, distributed databases.",Hybrid,,Scrum and Kanban,Hybrid: Scrum and Kanban,Fixed,understandable/early defined,Non-Intensive,Large,Large (16....),Complex,After development is done (Non-intensive testing),Low,Medium,High,High,Medium,Low,Medium,Low,,,,,,,,,,,,,,,,,Requirements Volatility;Project Size;Project Type,no,
2021/11/27 8:02:51 pm CET,Information Technology,"a. Real-time systems i.e., produce real-time data to predict the future consequences of current actions e.g., used in smartphones, air traffic control, GPS, health",Scrum,,,Scrum,Changing,unknown/defined later in the lifecycle,Intensive,Medium,Medium (6-15),Simple,After each cycle (Intensive testing),Low,High,High,High,Low,High,Medium,Low,,,,,,,,,,,,,,,,,Project Type,No,Application
2021/11/27 8:02:51 pm CET,Information Technology,"a. Real-time systems i.e., produce real-time data to predict the future consequences of current actions e.g., used in smartphones, air traffic control, GPS, health",Scrum,,,Scrum,Changing,unknown/defined later in the lifecycle,Intensive,Medium,Medium (6-15),Simple,After each cycle (Intensive testing),Low,High,High,High,Low,High,Medium,Low,,,,,,,,,,,,,,,,,Project Type,No,Application
2021/11/27 8:02:51 pm CET,Information Technology,"a. Real-time systems i.e., produce real-time data to predict the future consequences of current actions e.g., used in smartphones, air traffic control, GPS, health",Scrum,,,Scrum,Changing,unknown/defined later in the lifecycle,Intensive,Medium,Medium (6-15),Simple,After each cycle (Intensive testing),Low,High,High,High,Low,High,Medium,Low,,,,,,,,,,,,,,,,,Project Type,No,Application
2021/12/06 11:30:12 am CET,Gaming,"a. Real-time systems i.e., produce real-time data to predict the future consequences of current actions e.g., used in smartphones, air traffic control, GPS, health",Scrum;Hybrid,Depending on the requirements,Scrum and Waterfall,Scrum,Changing,unknown/defined later in the lifecycle,Intensive,Medium,Medium (6-15),Complex,After each cycle (Intensive testing),Medium,High,High,High,Low,Medium,High,Low,Hybrid: Scrum and Waterfall,Changing,understandable/early defined,Intensive,Large,Large (16....),Complex,After each cycle (Intensive testing),High,High,High,High,High,High,Medium,Medium,Requirements Clarity;Requirements Volatility;Project Size,N/A,
2021/12/06 11:33:28 am CET,Finance,b. Information systems,Rapid Application Development (RAD),,,RAD,Changing,understandable/early defined,Intensive,Large,Medium (6-15),Complex,After each cycle (Intensive testing),High,Low,High,High,High,Medium,Low,Low,,,,,,,,,,,,,,,,,Requirements Clarity;Requirements Volatility;Risk Analysis;Project Size;Team Size,Prototyping:high ,
2021/12/23 3:31:25 pm CET,Gaming,"a. Real-time systems i.e., produce real-time data to predict the future consequences of current actions e.g., used in smartphones, air traffic control, GPS, health",Waterfall,,,Waterfall,Fixed,understandable/early defined,Non-Intensive,Small,Small (1-5),Simple,After development is done (Non-intensive testing),High,Low,Medium,Medium,High,Low,Low,Low,,,,,,,,,,,,,,,,,User Participation;Project Size;Team Size;Product Complexity,knowhow of the methodology: high,
2021/12/06 11:54:12 am CET,Gaming,"a. Real-time systems i.e., produce real-time data to predict the future consequences of current actions e.g., used in smartphones, air traffic control, GPS, health",Rapid Application Development (RAD),,,RAD,Changing,unknown/defined later in the lifecycle,Intensive,Medium,Small (1-5),Complex,After development is done (Non-intensive testing),High,Medium,High,High,Low,Medium,High,Low,,,,,,,,,,,,,,,,,Requirements Clarity;Risk Analysis,The speed of delivery is very important,
2021/12/06 2:55:08 pm CET,Gaming,Casino slot games,Kanban,,,Kanban,Changing,unknown/defined later in the lifecycle,Intensive,Medium,Large (16....),Complex,After each cycle (Intensive testing),Medium,Low,High,High,Medium,High,Medium,High,,,,,,,,,,,,,,,,,Requirements Clarity;Requirements Volatility;Project Size;Product Complexity,no,
2021/12/06 4:55:02 pm CET,Gaming,"c. Distributed systems i.e., Collection of computers working together to appear as a single computer to the end-user e.g., telephone networks, wireless sensor networks, routing algorithms, distributed databases.",scrunban,,Scrum and Kanban,Hybrid: Scrum and Kanban,Changing,understandable/early defined,Intensive,Medium,Medium (6-15),Complex,After each cycle (Intensive testing),Medium,Medium,Medium,Medium,Medium,Medium,High,Low,Hybrid: Scrum and Waterfall,Changing,understandable/early defined,Intensive,Medium,Medium (6-15),Complex,After each cycle (Intensive testing),Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Requirements Clarity;User Participation;Development Time;Testing Intensity,ci-cd pipelinesand automated and continous testinf,
2021/12/06 6:12:30 pm CET,Information Technology,b. Information systems,Spiral,,,Spiral,Changing,unknown/defined later in the lifecycle,Intensive,Large,Small (1-5),Complex,After each cycle (Intensive testing),High,Low,High,High,Low,Low,Medium,Low,,,,,,,,,,,,,,,,,Requirements Clarity;Requirements Volatility;Risk Analysis;Product Complexity;Delivery Speed,N/A,
2021/12/07 10:11:56 am CET,Finance,b. Information systems,Waterfall;Kanban,depends on the scale of the project,,Kanban,Changing,understandable/early defined,Intensive,Medium,Medium (6-15),Complex,After each cycle (Intensive testing),Medium,Low,High,Medium,High,Medium,High,High,Waterfall,Fixed,understandable/early defined,Non-Intensive,Small,Small (1-5),Simple,After development is done (Non-intensive testing),Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Requirements Clarity;Requirements Volatility;Project Size;Product Complexity;Project Type;Development Time;Delivery Speed,Client's changing requirements: High,
2021/12/07 11:31:33 am CET,Finance,b. Information systems,Scrum,,,Scrum,Changing,unknown/defined later in the lifecycle,Intensive,Medium,Small (1-5),Complex,After development is done (Non-intensive testing),Medium,High,Medium,Medium,Low,Medium,High,Low,,,,,,,,,,,,,,,,,Requirements Clarity;Development Time,Task length: High,
